"displacement:0"	"displacement:1"	"displacement:2"	"Points:0"	"Points:1"	"Points:2"
-0.00040162046	0.00028367585	0.00017193268	65412.551	-36377.508	-2846.6812
-0.00040431785	0.00028223096	0.00017166869	65883.297	-36660.406	-2843.8694
-0.00040842998	0.00027934668	0.00017108612	66897.18	-37269.719	-2750.4097
-0.00034687893	0.00029547729	0.00016985132	60233.414	-33265.016	-3114.9829
-0.00035875412	0.00029401918	0.000170589	61015.469	-33735.008	-3130.9133
0.0013246354	1.0379902e-06	-4.5841081e-05	44548	-23838.613	-3494.2603
0.001289535	1.0226497e-05	-4.0275542e-05	44654.859	-23902.832	-3494.7471
0.004036119	-0.00075830148	-0.00046430603	40109.016	-21170.934	-3480.458
0.0039028106	-0.00071719856	-0.00042989098	40259.809	-21261.555	-3477.0034
0.00049354427	0.00018839154	7.2134474e-05	48054.578	-25945.949	-3514.6758
0.00047871944	0.00019125119	7.4011643e-05	48143.328	-25999.285	-3514.8787
0.00034836608	0.00021524177	9.1130645e-05	49005.574	-26517.465	-3517.7856
0.00032895713	0.00021865456	9.3477171e-05	49145.707	-26601.68	-3518.1267
0.00040465019	0.00020448869	8.3704525e-05	48613.348	-26281.752	-3517.0317
-0.00033837218	0.00029627416	0.0001687164	59724.766	-32959.336	-3155.7671
-0.00038769139	0.00028929527	0.00017223532	63447.875	-35196.801	-2884.3542
-0.00038922624	0.00028883989	0.00017223081	63618.27	-35299.203	-2868.469
-0.00039089842	0.0002881318	0.00017223389	63855.469	-35441.754	-2864.2129
-0.00041004096	0.00027785665	0.00017072187	67353.695	-37544.066	-2736.4417
-0.000397951	0.00028543609	0.00017227338	64802.926	-36011.141	-2869.0828
-0.0003633971	0.00029353394	0.00017091492	61307.242	-33910.352	-3129.3955
-0.00036598114	0.00029327736	0.0001710859	61494.668	-34022.988	-3105.5737
0.0011679098	4.0856907e-05	-2.1167043e-05	45054.016	-24142.713	-3497.405
0.0011287744	5.0392525e-05	-1.5161217e-05	45181.562	-24219.363	-3498.2668
0.014174318	-0.012642197	-0.00061953444	-28559.943	20096.795	152.71906
0.015239804	-0.013811481	-0.0010276077	-27147.375	19247.889	130.69337
0.071359268	-0.015259105	0.022396347	-815.56683	3423.3604	-297.34604
0.073904749	-0.016399779	0.021379965	-126.39924	3009.1938	-360.00558
0.011894177	-0.010289551	-0.00021668407	-31692.809	21979.541	145.95065
0.012006483	-0.010387463	-0.00021514269	-31533.15	21883.592	134.61472
0.0005296458	0.00018104114	6.7152219e-05	47849.398	-25822.643	-3513.6528
-3.1092498e-05	0.00027350667	0.00013634649	52705.332	-28740.896	-3509.5674
-6.3118029e-05	0.00027752133	0.00013978601	53140.121	-29002.188	-3512.5569
-6.358277e-06	0.00027060772	0.00013372319	52357.168	-28531.662	-3508.6626
0.0056142097	-0.00072157853	-0.0019249148	38678.137	-20311.023	-3277.1938
0.0049063242	-0.00073579725	-0.0017282706	38972.812	-20488.113	-3363.1855
0.048257117	-0.011458015	0.015726376	-5970.7808	6521.4702	-69.175819
0.052690305	-0.011336834	0.018318555	-4938.7261	5901.2402	-91.057259
0.075130523	-0.016964391	0.021051575	186.6666	2821.0518	-376.64322
0.057492423	-0.011477097	0.020440377	-3885.1399	5268.0703	-117.78415
0.058082974	-0.011556609	0.02068127	-3768.3813	5197.9023	-121.99846
0.079919156	-0.021514617	0.010416732	6054.2925	-705.19342	-713.39722
0.079095463	-0.021423233	0.01069816	7029.9292	-1291.5181	-840.51263
0.0804711	-0.021507757	0.010254306	5422.9214	-325.76056	-632.5979
0.0076426612	-0.0067892599	-0.00084764421	-40125.18	27047.113	436.67682
0.0078817258	-0.0069419072	-0.00079093476	-39392.094	26606.551	426.76392
0.0093070392	-0.0080182468	-0.00043333925	-36129.906	24646.088	163.38036
0.0099174214	-0.008548872	-0.00033149159	-34930.348	23925.193	137.88794
0.079048758	-0.021383725	0.010834997	7124.4214	-1348.3047	-852.27972
0.030179813	-0.016840348	0.0010392475	-11658.617	9939.668	-75.054375
0.032754787	-0.015561407	0.0033491334	-10573.878	9287.7764	-75.946625
0.02423483	-0.01989037	-0.0039514803	-15261.501	12104.88	-73.570908
0.024489832	-0.019762274	-0.0037526086	-15060.452	11984.056	-74.010887
0.0048673016	-0.0047912422	-0.00096354465	-51420.316	33835.109	334.53574
0.0050682072	-0.0049618133	-0.0010000034	-50321.602	33174.816	303.54843
0.0082939827	-0.0072497407	-0.0006713754	-38322.625	25963.838	328.38885
0.028048219	-0.017899665	-0.00086742736	-12711.511	10572.421	-74.750252
0.0480633	-0.011475401	0.015587725	-6015.2129	6548.1724	-68.535225
0.043594925	-0.012146455	0.01262503	-7104.3867	7202.729	-63.298992
0.047897684	-0.011500348	0.015459924	-6056.8081	6573.1694	-68.300964
0.0047773269	-0.0047118324	-0.00094004708	-51979.031	34170.879	347.73343
0.025824324	-0.019101369	-0.0027893967	-14042.022	11372.014	-76.323456
0.027536755	-0.01815342	-0.0012682546	-12984.24	10736.322	-74.900482
0.0066890801	-0.0061759394	-0.0010216549	-43198.445	28894.041	321.31805
0.0067847184	-0.0062408272	-0.0010069695	-42907.18	28719	336.59879
0.0072712513	-0.0065526241	-0.00092733975	-41196.695	27691.059	408.0564
0.0027962378	-0.0027265934	-0.00029105093	-65920.492	42549.227	570.50543
0.0029624422	-0.0029059243	-0.0003396017	-64316.691	41585.395	472.63931
0.062457273	-0.012432992	0.022079361	-2844.4102	4642.627	-150.01404
0.066187759	-0.013359632	0.022423731	-2018.1769	4146.0884	-198.39497
0.06809403	-0.013972038	0.022652922	-1605.1349	3897.864	-237.49997
0.022457907	-0.0050901569	-0.015282426	29357.816	-14709.826	-1614.4453
0.02124486	-0.0053016259	-0.011928429	29863.947	-15013.993	-1708.5626
0.020306494	-0.0060053613	-0.0072490692	30619.74	-15468.199	-1843.1309
0.020042647	-0.0065208116	-0.0040406475	31227.924	-15833.697	-1936.8783
0.021115395	-0.0053507492	-0.011335433	29955.453	-15068.985	-1729.4465
0.020540186	-0.0057777683	-0.0086377785	30397.324	-15334.535	-1802.7511
0.019971603	-0.0067078139	-0.0032902187	31403.789	-15939.387	-1969.6937
0.07612623	-0.018157967	0.013894752	10739.724	-3520.9792	-1010.2756
0.07517472	-0.017133218	0.014399616	11421.591	-3930.7588	-1012.1381
0.004231309	-0.0042127885	-0.00076346639	-55182.934	36096.316	183.42322
0.0045046519	-0.0044648203	-0.00085182933	-53494.742	35081.77	185.23796
0.003224193	-0.0031878693	-0.00041383106	-62121.441	40266.125	258.03818
0.0032274613	-0.003191466	-0.0004148311	-62091.312	40248.016	257.3862
0.078341286	-0.0210093	0.011693516	8149.9863	-1964.6349	-950.04321
0.077961176	-0.020663208	0.011960556	8587.9248	-2227.8208	-968.5401
0.002122332	-0.0020152689	-0.00011272525	-73495.102	47101.309	823.06708
0.0021836438	-0.0020818987	-0.00012791973	-72671.469	46606.332	822.48468
0.002407601	-0.0023128293	-0.00018236285	-69954.07	44973.27	659.18115
0.0024961768	-0.0024064131	-0.00020302257	-68855.336	44312.969	523.92896
0.0023012604	-0.0022033328	-0.00015901401	-71165.359	45701.211	839.29749
0.075046889	-0.017016241	0.014471635	11509.177	-3983.395	-1012.7724
0.076969199	-0.019315979	0.013369727	9945.2656	-3043.5371	-1006.2957
0.076678018	-0.018984557	0.013455132	10166.641	-3176.5759	-1006.325
0.077223349	-0.019566587	0.013187411	9689.7402	-2889.9751	-1004.4105
0.080661855	-0.021477603	0.01076739	5051.0674	-102.28905	-593.19226
0.0053615816	-0.0051861051	-0.0010438122	-48904.977	32323.473	231.25626
0.0056795675	-0.0054324173	-0.0010769733	-47321.742	31372.002	238.90062
0.00016184524	0.00024623991	0.00011391638	50530.539	-27433.916	-3516.6936
0.00013410428	0.000250653	0.0001172271	50786.809	-27587.926	-3516.1594
8.5227938e-05	0.00025777168	0.00012295279	51294.367	-27892.953	-3513.1013
0.0025268168	-0.00032551719	-0.00021986573	41982.074	-22296.58	-3485.9653
0.002484759	-0.00031331034	-0.00021431307	42044.336	-22333.996	-3487.0559
-0.00041129631	0.00025238345	0.00016143823	75058.484	-42174.387	-3038.4512
-0.00040854766	0.00024758583	0.00015949418	76408.109	-42985.469	-3203.6208
0.0045848637	-0.00076520522	-0.0016735576	39114.277	-20573.131	-3398.2632
0.0044625529	-0.00087229196	-0.00070521376	39605.125	-20868.113	-3466.9846
0.0035452516	-0.0006195627	-0.00034986579	40634.066	-21486.473	-3475.2329
0.0033459929	-0.00055958793	-0.00032328446	40875.25	-21631.414	-3471.4766
0.004461889	-0.0008726626	-0.00070178281	39606.805	-20869.123	-3467.1877
0.0044580109	-0.00087177955	-0.00069951593	39611.469	-20871.924	-3467.3665
-0.00041412311	0.00027160937	0.00016885969	69283.289	-38703.688	-2715.189
-0.00041527696	0.00026778692	0.00016762146	70454.789	-39407.723	-2742.9937
-0.00041535654	0.00026529588	0.00016651545	71256.758	-39889.676	-2733.3806
-0.00041494489	0.00026174781	0.00016526589	72301.883	-40517.762	-2804.9431
0.011038505	-0.0094989032	-0.00024874185	-33040.363	22789.377	248.35355
0.07890567	-0.021289888	0.010973816	7327.3638	-1470.2665	-873.10077
0.067061613	-0.013618935	0.022618895	-1823.6046	4029.157	-211.00105
0.057003647	-0.011439912	0.020186507	-3992.8167	5332.7803	-114.55289
0.014140869	-0.012603815	-0.00060942892	-28609.289	20126.451	152.28786
0.01415643	-0.012620526	-0.00061290042	-28586.422	20112.707	152.88777
0.019305493	-0.01873665	-0.0038518619	-21654.748	15947.006	-8.3519602
0.019987679	-0.019459826	-0.0043723231	-20618.979	15324.543	-15.959371
0.021755548	-0.020448933	-0.0050743027	-18021.479	13763.533	-54.478867
0.021941245	-0.020484195	-0.0050847211	-17757.105	13604.653	-60.268539
0.010505985	-0.0041202837	0.0037395142	36326.262	-18897.627	-2931.2324
0.0096153422	-0.0033662797	0.0034607135	36824.867	-19197.271	-2870.3589
0.0065095424	-0.0060550241	-0.0010403729	-43861.613	29292.582	333.59027
0.055050978	-0.0048242203	0.00040912037	24248.967	-11639.579	-883.85474
0.052606461	-0.0062817499	-0.0055423989	24790.918	-11965.272	-814.76996
0.013073551	-0.011432671	-0.0003349157	-30043.447	20988.332	116.39881
0.012119228	-0.010497528	-0.00022803276	-31388.521	21796.676	131.08183
0.010125004	-0.0087177556	-0.00030245682	-34573.871	23710.963	137.54456
0.010334648	-0.0088983977	-0.00029383829	-34243.602	23512.48	164.55363
0.046982164	-0.0077238281	-0.014506511	25730.785	-12530.102	-816.23401
0.045098016	-0.0076772449	-0.01643235	25972.461	-12675.341	-845.27069
0.032949276	-0.015479753	0.0034938425	-10495.939	9240.9375	-76.069588
0.03978654	-0.012865958	0.0094988094	-8201.3623	7861.9741	-67.127167
0.065703535	-0.0073496614	0.016923118	16420.211	-6934.7607	-1001.4139
0.065220323	-0.0067977635	0.017078533	16638.227	-7065.7812	-1001.0956
0.07492316	-0.016895952	0.014509406	11580.854	-4026.4709	-1013.4304
0.073839266	-0.015751274	0.015021523	12287.209	-4450.9658	-1018.2107
0.081098853	-0.021180074	0.012255226	3792.0068	654.36407	-529.16925
0.081068281	-0.021256901	0.011889205	4100.4233	469.01596	-537.04767
0.058046436	0.0016543252	0.022316746	21425.578	-9942.8184	-1063.3257
0.057910205	0.0014728848	0.020727879	21937.967	-10250.746	-1108.0576
0.057197665	-0.0021187134	0.0094394147	23393.754	-11125.625	-1015.6878
0.056854579	-0.0027248493	0.0078388932	23559.525	-11225.248	-991.88214
0.0016679968	-8.9020724e-05	-9.7348349e-05	43622.938	-23282.682	-3494.3564
0.0015071933	-4.6417185e-05	-7.4555045e-05	44029.805	-23527.197	-3493.3435
0.00059355329	0.00016805668	5.8194257e-05	47483.184	-25602.559	-3512.342
0.00097745615	8.5782333e-05	5.9116229e-06	45729.672	-24548.758	-3502.8059
0.00095111484	9.1869122e-05	9.4993489e-06	45834.309	-24611.643	-3503.3618
-0.00024086291	0.00029363548	0.00015642546	56529.016	-31038.801	-3544.2739
-0.00027213279	0.00029508878	0.00015899474	57297.973	-31500.916	-3560.7156
0.0019205993	-0.00015612779	-0.0001346215	43059.941	-22944.342	-3495.2332
0.0017524576	-0.00011201023	-0.00010942441	43436.66	-23170.736	-3494.5713
0.0024008618	-0.0002893443	-0.00020347541	42185.758	-22418.984	-3488.9077
0.0021999625	-0.00023317853	-0.00017677128	42525.949	-22623.43	-3493.4094
0.00076564054	0.00013266319	3.4913559e-05	46623.5	-25085.918	-3508.2776
0.00070824901	0.00014481711	4.337201e-05	46896.434	-25249.943	-3510.0056
-0.00022941012	0.00029276516	0.00015554849	56262.809	-30878.818	-3537.8618
-0.00023619951	0.00029331367	0.0001560345	56416.402	-30971.123	-3541.4744
-0.00019876628	0.00029052235	0.00015336807	55557.695	-30455.07	-3520.0947
0.0010033692	7.9521649e-05	2.4991183e-06	45637.773	-24493.531	-3502.0654
0.002121378	-0.00021184561	-0.00016587163	42679.035	-22715.43	-3494.1621
-0.00014811403	9.3354485e-05	6.1988454e-05	154401.45	-89856.828	-3447.5286
-0.00013494007	8.8167289e-05	5.8198234e-05	161873.45	-94347.258	-3449.1609
0.00078115121	-0.00065821729	8.0507407e-05	-108584.96	68189.133	68.320061
0.0008173343	-0.00069365185	7.8417236e-05	-106652.32	67027.68	81.761086
-7.3398124e-05	6.6357755e-05	4.1817654e-05	210716.28	-123700.15	-3585.198
-6.360599e-05	6.3701327e-05	3.9876706e-05	221222.77	-130014.2	-3557.7573
0.00086293385	-0.00073583339	7.5912232e-05	-104303.95	65616.391	66.646729
0.0017095345	-0.0015808533	-2.2512315e-05	-79980.484	50998.809	589.22522
0.0018073367	-0.0016840414	-4.1276764e-05	-78229.453	49946.496	679.24554
-2.9029651e-05	6.2050357e-05	3.6715463e-05	268663.38	-158524.39	-3607.9661
-1.6169315e-05	6.3613076e-05	3.6788007e-05	287341.97	-169749.59	-3590.5144
-3.2030181e-06	6.7650926e-05	3.7511893e-05	305401.56	-180602.81	-3710.2546
0	6.8461253e-05	3.7624945e-05	309870.03	-183288.22	-3710.7151
-0.00023780173	0.0001357915	9.2315816e-05	118677.34	-68387.844	-3629.3931
-0.00023761365	0.00013569326	9.22476e-05	118737.7	-68424.117	-3630.9197
-0.00036239434	0.00020750562	0.00013968693	87833.211	-49851.566	-3601.1362
-0.00035249733	0.00020073556	0.00013570892	90038.945	-51177.137	-3608.8481
-0.00041229428	0.00027453434	0.00016973107	68366.43	-38152.684	-2704.4768
0.00026183598	0.00023029366	0.00010145572	49660.715	-26911.184	-3518.6384
0.00023708702	0.00023446212	0.00010445094	49864.035	-27033.371	-3518.5852
0.00030100266	0.00022347986	9.6812711e-05	49362.559	-26732.002	-3518.0857
0.00019610166	0.00024097871	0.00010958132	50211.738	-27242.33	-3518.1816
0.061503892	-0.0030911819	0.019085157	18121.906	-7957.4229	-1011.3957
0.06106799	-0.0025489779	0.019530771	18347.549	-8093.0259	-1006.3112
0.059832774	-0.0013028248	0.020564212	18913.256	-8432.9971	-973.50122
0.059441532	-0.00078057145	0.021016873	19154.447	-8577.9443	-966.76917
0.0052547527	-0.0051016939	-0.0010306426	-49367.359	32601.352	219.09488
0.018161759	-0.017444235	-0.0029161229	-23242.373	16901.113	39.464581
0.018325601	-0.017653381	-0.0030353656	-22997.381	16753.883	25.043642
0.07107433	-0.012929213	0.015856452	13876.347	-5405.9839	-1020.6725
0.0696182	-0.011446731	0.016124333	14596.621	-5838.8447	-1015.3135
0.019643114	-0.0070005748	-0.00067808078	32082.201	-16347.089	-2076.7444
0.019431422	-0.0072751483	0.00028966233	32475.6	-16583.508	-2159.5898
0.0041571348	-0.0041436638	-0.00074007779	-55598.441	36346.02	189.12239
0.051787006	-0.0066940919	-0.0070338816	24946.158	-12058.567	-802.16638
